reward_mean,length_mean,collisions_mean,success_rate,uf_activation_prop,cbf_activation_prop,true_positive_rate,false_positive_rate,true_negative_rate,false_negative_rate,forward_velocity_mean,lateral_velocity_mean,velocity_mean,goal_approach_mean,ema_divergence_mean,cbf_config,percentile
10.708486718654633,314.08,0.039,0.968,0.9878028224685893,0.2902429875437463,1.0,0.9883977753532558,0.011602224646744192,0.0,0.63388306,0.010463514382470748,0.32217328670364076,0.37443307,0.40825662,1.0,1.0
10.641880247801542,329.418,0.045,0.96,0.8831969412362676,0.291520896370246,0.9984243904360499,0.8901668755683354,0.10983312443166458,0.0015756095639500533,0.6377917,0.009931751438030914,0.32386172232431637,0.3769743,0.41341975,1.0,10.0
10.614901150122284,323.089,0.039,0.96,0.7776214383974543,0.28789304554503314,0.990388418637766,0.7819562191572821,0.21804378084271794,0.009611581362234,0.64077526,0.007044745371291356,0.3239100043403851,0.37716845,0.41349676,1.0,20.0
10.884023914456368,322.262,0.048,0.972,0.6786994970897939,0.29446579973074244,0.9688052488901112,0.6654255183494427,0.33457448165055725,0.031194751109888813,0.634588,0.008756065881578252,0.3216720345200738,0.3806923,0.41524002,1.0,30.0
11.043243547350169,309.363,0.048,0.969,0.5688166407287182,0.28945594786892626,0.9310077202728647,0.5318775434210177,0.4681224565789824,0.06899227972713533,0.6447626,0.006619707974477933,0.32569114180042563,0.38624376,0.4216575,1.0,40.0
10.894624345839024,307.693,0.035,0.964,0.4857030368909348,0.27817660263014277,0.8688570364854803,0.4462727747259576,0.5537272252740424,0.13114296351451973,0.65028894,0.011573076006956399,0.3309310077414848,0.3739187,0.41694728,1.0,50.0
10.800525610566138,308.607,0.07,0.97,0.4178488215806088,0.29430231333494505,0.8202311664890565,0.33480833822039774,0.6651916617796023,0.17976883351094353,0.64225525,0.012215766819528653,0.32723550672939017,0.3770862,0.41330975,1.0,60.0
10.805761496216059,316.267,0.097,0.962,0.3598385854969101,0.27839491043685743,0.7885072969543148,0.27128925144455773,0.7287107485554423,0.2114927030456853,0.65748733,0.010545378618877294,0.3340163557198848,0.38823625,0.42641625,1.0,65.0
10.68846520459652,310.755,0.121,0.957,0.3160357660814373,0.28482560523942,0.7221124332506412,0.2385052254868909,0.7614947745131091,0.27788756674935877,0.66308546,0.009644997695053462,0.3363652291789476,0.3886875,0.42419404,1.0,70.0
11.24714398418367,293.326,0.153,0.967,0.27244721912507225,0.28716498045105415,0.6467936379292878,0.1734008024738685,0.8265991975261315,0.3532063620707122,0.66871715,0.009901285441928849,0.3393092156808643,0.38916117,0.42963782,1.0,75.0
11.66941336082667,277.318,0.24,0.976,0.21050828116257111,0.2619901252470483,0.5420680438777215,0.11859416445623343,0.8814058355437666,0.45793195612227855,0.68724656,0.010723898435287992,0.3489852297428515,0.39541247,0.43655998,1.0,80.0
12.011258388876914,255.922,0.302,0.98,0.1553221908728572,0.26246878416606767,0.4141393442622951,0.0678256611165524,0.9321743388834476,0.585860655737705,0.69632566,0.012274738524554778,0.3543001991382234,0.393461,0.4410904,1.0,85.0
11.89723290027678,258.778,0.502,0.976,0.10382078643316557,0.2632366574246138,0.2675894714193502,0.032858044827949066,0.9671419551720509,0.7324105285806498,0.7024742,0.01276537671400729,0.3576197767988524,0.38300726,0.43827075,1.0,90.0
12.150771562069654,236.319,0.684,0.984,0.04882554722432496,0.26412471951638716,0.14507395134567203,0.007668187001140251,0.9923318129988598,0.854926048654328,0.71081036,0.012186695235759543,0.3614985292642268,0.38379872,0.44004175,1.0,95.0
11.83106026351452,269.035,1.056,0.975,0.008642852116507154,0.2698117560043053,0.02593751996422411,2.6058631921824103e-05,0.9999739413680782,0.9740624800357759,0.7030162,0.015803970097265845,0.3594100958102754,0.3896083,0.4361633,1.0,99.0
