reward_mean,length_mean,collisions_mean,success_rate,uf_activation_prop,cbf_activation_prop,true_positive_rate,false_positive_rate,true_negative_rate,false_negative_rate,forward_velocity_mean,lateral_velocity_mean,velocity_mean,goal_approach_mean,ema_divergence_mean,cbf_config,percentile
0.10815926532325133,168.13227513227514,1.0052910052910053,0.0,0.9899977066208594,0.39824897228167155,0.9908073541167066,0.9917684887459807,0.008231511254019292,0.009192645883293365,0.48801756,-0.006529411290545588,0.24074407388048405,0.61720735,0.2560819,1.0,1.0
0.40694124691717865,142.6209476309227,1.0349127182044888,0.0,0.9199201524830027,0.37796986421288603,0.9178333715859537,0.9248183342649525,0.07518166573504752,0.08216662841404636,0.51067996,0.004584913390696292,0.2576324368207754,0.60432714,0.26171783,1.0,10.0
0.560363951701118,142.06812652068126,1.0608272506082725,0.0,0.8242740768590407,0.385402631950115,0.8295890410958904,0.8276839640083816,0.17231603599161838,0.1704109589041096,0.499769,0.008012202652193915,0.25389060242568345,0.63792974,0.25788733,1.0,20.0
0.615339087834925,141.81572481572482,1.0933660933660934,0.0,0.7589728638083081,0.3604135632050839,0.7623523093447906,0.7653695018380022,0.2346304981619977,0.23764769065520946,0.53007936,0.01273834415619503,0.27140885446640317,0.6221607,0.2669192,1.0,30.0
0.4114506071685658,146.765625,1.0911458333333333,0.0,0.6584109018451324,0.4065000892729827,0.6606455433816998,0.6570175438596492,0.3429824561403509,0.33935445661830027,0.5099254,0.012078497206024016,0.26100196112933344,0.62710744,0.24289262,1.0,40.0
0.7226347452939449,124.67511520737327,1.1175115207373272,0.0,0.5747498898221719,0.38246517408877817,0.5755693581780539,0.5808979808714134,0.41910201912858663,0.4244306418219462,0.5331809,0.0032175276089139917,0.2681992100382064,0.6364737,0.26604038,1.0,50.0
0.7533510090278305,126.11084337349398,1.110843373493976,0.0,0.5070636544396973,0.37849449574221783,0.5003234152652005,0.5089297703773331,0.49107022962266683,0.4996765847347995,0.53211963,0.0011102315094195733,0.26661493163834626,0.61322325,0.2609541,1.0,60.0
0.7786418080681423,126.14950980392157,1.1127450980392157,0.0,0.44974860296663066,0.3898023554884904,0.45038167938931295,0.44200140944326993,0.5579985905567301,0.549618320610687,0.53958946,8.013231668954569e-05,0.2698347984905744,0.6325824,0.2636177,1.0,65.0
0.6848571559671184,126.05418719211822,1.1477832512315271,0.0,0.4076443227864669,0.394767050817967,0.3988657844990548,0.4061887426491179,0.5938112573508821,0.6011342155009451,0.5261243,0.014129389370470468,0.2701268439715054,0.6233784,0.25529692,1.0,70.0
0.8075609660849552,126.67653758542141,1.1366742596810935,0.0,0.3342926007228982,0.3651713123745123,0.3490650044523598,0.33885772565017847,0.6611422743498215,0.6509349955476402,0.5512725,-0.0069549709661013304,0.2721587702580687,0.6313485,0.26749447,1.0,75.0
0.6629658467774215,125.22831050228311,1.1757990867579908,0.0,0.2791304759822603,0.3717461456181976,0.2797817520460746,0.28160845469777035,0.7183915453022297,0.7202182479539254,0.5460998,-0.0011216785051375282,0.27248905174245686,0.6263403,0.25516963,1.0,80.0
0.675904476820662,128.20417633410673,1.1995359628770301,0.0,0.23586048625702072,0.3889273150890449,0.2305691996532794,0.23880208333333333,0.7611979166666667,0.7694308003467206,0.5550583,0.006081116847553331,0.2805697086713505,0.63789475,0.2544578,1.0,85.0
0.8045654496340573,125.98584905660377,1.2122641509433962,0.0,0.14149849677800883,0.3667770656754689,0.1346272335181762,0.14048157509644804,0.8595184249035519,0.8653727664818238,0.5705272,0.010488560676197455,0.2905078783033392,0.63077796,0.2668879,1.0,90.0
0.7182754041888,131.59178743961354,1.210144927536232,0.0,0.07622576357337185,0.3674021085165149,0.08144927536231884,0.07443838894058222,0.9255616110594178,0.9185507246376812,0.5684311,0.007479045808215171,0.28795506259793996,0.6178873,0.26223385,1.0,95.0
0.8293590009008833,122.7630979498861,1.24373576309795,0.0,0.020590656152463905,0.38951977280960315,0.02155043400179587,0.02074468085106383,0.9792553191489362,0.9784495659982041,0.56109524,0.01318344654905735,0.28713934214049547,0.630267,0.26296508,1.0,99.0
