reward_mean,length_mean,collisions_mean,success_rate,uf_activation_prop,cbf_activation_prop,true_positive_rate,false_positive_rate,true_negative_rate,false_negative_rate,forward_velocity_mean,lateral_velocity_mean,velocity_mean,goal_approach_mean,ema_divergence_mean,cbf_config,percentile
-27.060628915237167,2001.0,2.23728813559322,0.0,0.9901271186440678,0.8001694915254237,0.9896737979241687,0.9919423240033927,0.008057675996607293,0.010326202075831391,0.15045577,0.017555860077155264,0.08400581647694738,0.43726152,0.13466954,1.0,1.0
-25.14362154006958,2001.0,3.3454545454545452,0.0,0.9709545454545455,0.7740454545454545,0.9706970462152799,0.971836652584993,0.02816334741500704,0.029302953784720184,0.18090448,0.015421349047524431,0.09816291344111298,0.38850528,0.15562452,1.0,10.0
-22.588451124900995,2001.0,3.0930232558139537,0.0,0.9393023255813954,0.7004651162790697,0.9406540504648074,0.936141304347826,0.06385869565217392,0.059345949535192566,0.22712122,0.029776460018691196,0.12844883952882727,0.47863454,0.18704046,1.0,20.0
-18.21712654158473,2001.0,3.925,0.0,0.90175,0.6051249999999999,0.9009502168973352,0.9029756251978475,0.09702437480215258,0.09904978310266474,0.29899582,0.03230235365599583,0.1656490881620357,0.48104414,0.24928841,1.0,30.0
-20.8666331018171,2001.0,5.548387096774194,0.0,0.8512903225806451,0.6424193548387095,0.8508661812703991,0.8520523229589535,0.14794767704104647,0.1491338187296008,0.27103132,0.018929866968274808,0.14498059353166853,0.40686035,0.22940633,1.0,40.0
-16.905271356659277,2001.0,5.857142857142857,0.0,0.7956249999999999,0.6176785714285714,0.7957502168256722,0.79542269967305,0.20457730032695,0.20424978317432785,0.31635424,0.026473295623353415,0.17141377028539345,0.3985581,0.27615076,1.0,50.0
-23.334746069141797,2001.0,7.190476190476191,0.0,0.7224999999999999,0.7439285714285714,0.7229956793086894,0.7210599721059973,0.2789400278940028,0.2770043206913106,0.22129436,0.007237132799456872,0.11426574558607258,0.30847287,0.17931613,1.0,60.0
-19.411457434944484,2001.0,10.826086956521738,0.0,0.6689130434782609,0.6790217391304348,0.6657595645910037,0.6755841517101253,0.3244158482898747,0.33424043540899634,0.27536458,0.04156569437359196,0.15846513607191257,0.31784132,0.22176287,1.0,65.0
-25.704608408610024,2001.0,9.466666666666667,0.0,0.6278333333333334,0.7977499999999998,0.6320902538389219,0.6110424392253812,0.38895756077461885,0.367909746161078,0.17817642,0.02319982605321608,0.10068812200001578,0.2990842,0.15291984,1.0,70.0
-19.870101952552794,2001.0,6.3,0.0,0.5586666666666666,0.6454166666666665,0.560619754680439,0.5551116333725029,0.4448883666274971,0.439380245319561,0.2878307,0.02636596734446357,0.15709833887776767,0.397676,0.2501586,1.0,75.0
-22.187470316886902,2001.0,6.071428571428571,0.0,0.5047321428571429,0.7152678571428572,0.5003120709025091,0.5158356851677642,0.4841643148322358,0.49968792909749093,0.22862503,0.019408314596928124,0.12401667196120668,0.32157016,0.20413493,1.0,80.0
-28.009963173615304,2001.0,7.815789473684211,0.0,0.4147368421052631,0.8526315789473684,0.41280864197530864,0.42589285714285713,0.5741071428571428,0.5871913580246914,0.13674575,0.01449138616800682,0.07561856853604504,0.2873764,0.12584338,1.0,85.0
-29.597612419906927,2001.0,6.244897959183674,0.0,0.3035204081632653,0.8905102040816326,0.30256674687750656,0.31127679403541475,0.6887232059645852,0.6974332531224934,0.10630023,0.008732966387321298,0.0575165968656787,0.26376417,0.094940096,1.0,90.0
-28.660874353755606,2001.0,5.709090909090909,0.0,0.1758181818181818,0.8630454545454546,0.17554115974087534,0.17756388981081977,0.8224361101891802,0.8244588402591246,0.12335957,0.012585979263001883,0.0679727738400371,0.2912655,0.11539439,1.0,95.0
-31.678915384568665,2001.0,5.017543859649122,0.0,0.049429824561403504,0.9057894736842105,0.048905674995157855,0.05446927374301676,0.9455307262569832,0.9510943250048421,0.0878097,0.003943034925453647,0.04587636585950493,0.2994324,0.08809772,1.0,99.0
