reward_mean,length_mean,collisions_mean,success_rate,uf_activation_prop,cbf_activation_prop,true_positive_rate,false_positive_rate,true_negative_rate,false_negative_rate,forward_velocity_mean,lateral_velocity_mean,velocity_mean,goal_approach_mean,ema_divergence_mean,cbf_config,percentile
-28.969849096404182,2001.0,1.8055555555555556,0.0,1.0,0.8277083333333333,1.0,1.0,0.0,0.0,0.12851621,0.01870745199630619,0.07361183205102861,0.46829924,0.10623333,1.0,1.0
-29.256657324339216,2001.0,1.3508771929824561,0.0,0.9968421052631579,0.841578947368421,0.998228059203669,0.9894795127353266,0.010520487264673311,0.0017719407963310402,0.117308795,0.010805465728800189,0.06405713059045906,0.41164395,0.099635735,1.0,10.0
-29.282859724143457,2001.0,2.396551724137931,0.0,0.9765948275862069,0.7906034482758622,0.9865336386435504,0.939069575957184,0.06093042404281598,0.013466361356449678,0.13016665,0.019034402394528773,0.0746005261064746,0.509884,0.10593061,1.0,20.0
-27.064499190274407,2001.0,2.929411764705882,0.0,0.9343823529411761,0.7739705882352941,0.9677750332509976,0.820039037085231,0.17996096291476904,0.03222496674900247,0.15905418,0.017459748604468427,0.08825696181186632,0.37725025,0.13753575,1.0,30.0
-27.17468231602719,2001.0,2.0526315789473686,0.0,0.9114912280701755,0.8018859649122807,0.9676748892413718,0.6840823555457162,0.31591764445428383,0.032325110758628234,0.16023472,0.014920471746320305,0.08757759563058355,0.4610137,0.14242607,1.0,40.0
-30.00340814249856,2001.0,2.732142857142857,0.0,0.9122321428571428,0.8204910714285715,0.9637629903694434,0.6766973389704054,0.32330266102959465,0.036237009630556614,0.12312885,0.014879231916503548,0.06900403910211546,0.49073642,0.09722736,1.0,50.0
-29.868727928825788,2001.0,3.892857142857143,0.0,0.8440624999999999,0.8498660714285714,0.892525082733624,0.5697294082664288,0.43027059173357124,0.10747491726637601,0.11432605,0.017331109598412046,0.06582858098304964,0.41421813,0.09800572,1.0,60.0
-29.43430203311848,2001.0,4.09433962264151,0.0,0.8433962264150944,0.8385849056603775,0.9116886038924513,0.4886031560490941,0.5113968439509059,0.08831139610754865,0.12410291,0.01830769879810725,0.07120530582066732,0.43176654,0.11101316,1.0,65.0
-27.831401220182094,2001.0,4.170731707317073,0.0,0.8017073170731707,0.8303048780487806,0.8688404200631563,0.4732303269852677,0.5267696730147323,0.13115957993684366,0.14580569,0.007692873656462946,0.07674928018436399,0.4106845,0.11936951,1.0,70.0
-27.196295639643303,2001.0,4.480769230769231,0.0,0.7162499999999998,0.7751442307692306,0.8290640699621659,0.32734658969424846,0.6726534103057515,0.17093593003783414,0.15146643,0.03072055718215639,0.0910934932078537,0.45456076,0.121369794,1.0,75.0
-25.929885123227095,2001.0,6.378378378378378,0.0,0.700135135135135,0.7918918918918919,0.8244880546075085,0.22694805194805195,0.7730519480519481,0.17551194539249146,0.17646594,0.02265044455054669,0.0995581940031214,0.4164001,0.14318967,1.0,80.0
-28.881392844887667,2001.0,5.976744186046512,0.0,0.616046511627907,0.8359302325581396,0.7121991932118514,0.1261516654854713,0.8738483345145287,0.28780080678814857,0.13340276,0.009571959034952818,0.07148736191608175,0.43037778,0.11894119,1.0,85.0
-29.244891293843587,2001.0,7.844444444444444,0.0,0.49444444444444446,0.8321111111111112,0.5758445720389905,0.09099933818663138,0.9090006618133686,0.42415542796100947,0.11530166,0.02340128735975466,0.06935147427656274,0.29806572,0.09569359,1.0,90.0
-28.134536025199022,2001.0,6.4772727272727275,0.0,0.2676136363636364,0.8443750000000002,0.3153219837157661,0.008762322015334063,0.9912376779846659,0.6846780162842339,0.13663635,0.007512507679579853,0.07207442712908894,0.3029172,0.12928657,1.0,95.0
-31.39450614635761,2001.0,3.876923076923077,0.0,0.013346153846153848,0.9083461538461538,0.014692806029554981,0.0,1.0,0.985307193970445,0.083993904,0.0022654390808803816,0.04312967168673192,0.30438006,0.088380665,1.0,99.0
